restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
-TcRFgNoikGd36DlgokVdA,Bella Bronze Tan & Body Spa,"Bella Bronze Tan & Body Spa - Near Southside - Chicago, IL",45,5,"Beauty and Spas, Tanning, Day Spas, Skin Care, METADATA","1503 S Michigan Ave (at 14th St) Chicago, IL 60605 Neighborhood: Near Southside",Mon-Fri 9 am - 9 pm Sat 9 am - 7 pm,,Yes,"Street, Private Lot",,,$$,,,,,,,,,,,,,Yes,http://www.bellabronzetan.com,(312) 427-6693,11
-WL5bFWWhbwWCVI4GYBkhQ,Beard Papa's Cream Puffs,"Beard Papa's Cream Puffs - The Loop - Chicago, IL",321,4,"Food, Bakeries, Desserts, Coffee & Tea, METADATA","108 N State St (between Court Pl & Washington St) Chicago, IL 60602 Neighborhood: The Loop",Mon-Thu 7:30 am - 7:30 pm Fri 7 am - 7:30 pm Sat 10 am - 7 pm,,Yes,Street,,,$,,,,,No,,,,,,,,Yes,,(312) 960-9000,25
0-j1UL2JhVfPc-flsK3aVA,Bar Millennium,"Bar Millennium - The Loop - Chicago, IL",7,4,"Nightlife, Bars, Pubs, METADATA","151 N Michigan Ave (at Randolph St) Chicago, IL 60601 Neighborhood: The Loop",,,Yes,,,Yes,$,,,,,No,,,Full Bar,Very Loud,Divey,Yes,,Yes,,(312) 846-6875,4
091Y2qP4mAZpHfrdwqQyZQ,Baldwin Kathleen Cooper MD,"Baldwin Kathleen Cooper MD - The Loop - Chicago, IL",1,5,"Health and Medical, Doctors, METADATA","151 N Michigan Avenue Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 861-9498,0
0s3yJUGqg9KrPCSwk8hJNA,Brandos,"Brandos - The Loop - Chicago, IL",143,4,"Nightlife, Bars, Lounges, Dance Clubs, Karaoke, METADATA","343 S Dearborn St Chicago, IL 60604 Neighborhood: The Loop",Mon-Fri 10 am - 2 am Sat 11 am - 3 am Sun 11 am - 2 am,,Yes,Street,,Yes,$$,,,,,No,,,Full Bar,Average,Casual,Yes,,Yes,http://www.brandoschicago.com,(773) 216-3213,47
12YOCJb0zuKue-F7ysHGSg,BomBon 4,"BomBon 4 - CLOSED - The Loop - Chicago, IL",50,5,"Restaurants, Mexican, METADATA","170 W Washington St (between La Salle St & Wells St) Chicago, IL 60602 Neighborhood: The Loop",,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,Yes,No,,Lunch,No,,,,,Yes,http://www.bomboncafe.com,(312) 781-2788,1
1s9iSQ4z8yDy9ffGqg81Fw,Blue Cross Blue Shield,"Blue Cross Blue Shield - The Loop - Chicago, IL",17,3,"Health and Medical, METADATA","300 E Randolph St (at Columbus Dr) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.bcbsil.com,(312) 938-7500,12
210rvDTo_0HSSo5tLr9HMA,Bash on Wabash,"Bash on Wabash - Near Southside - Chicago, IL",8,3,"Local Flavor, METADATA","Wabash at 14th St. Chicago, IL 60605 Neighborhood: Near Southside",,Yes,,,,,,,,,,,,,,,,,,,http://www.greatersouthloop.org/BAâ€¦,,0
2PIvYS7kCl4O8WD71-XjQw,Best Imaging Solutions,"Best Imaging Solutions - The Loop - Chicago, IL",2,3,"Local Services, Printing Services, METADATA","20 E Randolph St Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 357-9050,2
4ogd5u2JhzgJvsF7TK_CNQ,"Brynne Anderson, DDS","Brynne Anderson, DDS - The Loop - Chicago, IL",5,5,"Health and Medical, Dentists, METADATA","111 N Wabash Ave Ste 1107 Chicago, IL 60602 Neighborhood: The Loop",Mon-Thu 8 am - 6 pm,,,,,,,,,,,,,,,,,,,,http://www.intheloopdentist.com,(312) 609-1300,26
